Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2005,0.68,0.85,0.5,1.01,0.62,0.41,1.98,1.22,0.57,0.62,0.62,0.49,0.18,0.65
2006,0.64,0.81,0.46,0.99,0.56,0.4,1.73,1.06,0.7,0.56,0.55,0.51,0.19,0.44
2007,0.66,0.85,0.47,1.12,0.46,0.47,2.07,1.32,0.69,0.44,0.48,0.49,0.07,1.25
2008,0.54,0.68,0.41,0.91,0.37,0.4,1.52,1.07,0.62,0.33,0.42,0.52,0.09,0.63
2009,0.65,0.72,0.59,0.77,0.68,0.51,1.41,0.6,0.68,0.65,0.71,0.6,0.15,0.98
2010,0.72,0.9,0.55,1.03,0.68,0.48,2.23,0.86,0.74,0.71,0.65,0.63,0.2,0.54
2011,0.61,0.74,0.47,0.98,0.37,0.55,2.33,0.93,0.58,0.38,0.35,0.64,0.18,1.08
2012,0.64,0.81,0.48,1.03,0.52,0.42,2.16,0.93,0.74,0.47,0.57,0.55,0.19,0.44
2013,0.67,0.8,0.55,0.95,0.58,0.53,1.54,1.04,0.69,0.57,0.58,0.62,0.23,0.86
2014,0.75,0.92,0.57,1.08,0.67,0.52,2.05,1.13,0.73,0.69,0.65,0.71,0.18,0.56
2015,0.9,1.18,0.62,1.32,0.95,0.4,2.01,1.48,1.0,0.97,0.93,0.74,0.18,-0.31
2016,1.01,1.31,0.72,1.55,1.01,0.49,3.25,1.43,1.08,0.95,1.06,0.67,0.26,0.39
2017,0.92,1.18,0.67,1.39,0.81,0.59,2.53,1.38,1.04,0.86,0.77,0.75,0.35,0.54
2018,0.85,1.03,0.66,1.25,0.67,0.68,2.15,1.09,1.06,0.72,0.62,0.79,0.38,0.94
2019,0.98,1.21,0.74,1.42,0.89,0.64,2.74,1.43,1.0,0.9,0.89,0.74,0.39,0.82
2020,1.01,1.35,0.67,1.67,0.86,0.56,2.88,1.81,1.19,0.88,0.83,0.57,0.39,0.87
2021,0.85,1.14,0.55,1.43,0.65,0.52,2.07,1.36,1.27,0.72,0.59,0.71,0.32,0.3
2022,0.89,1.16,0.62,1.52,0.57,0.7,2.35,1.5,1.27,0.62,0.51,0.78,0.39,1.08
2023,1.17,1.49,0.85,1.78,1.06,0.71,2.58,1.86,1.47,1.07,1.04,0.9,0.44,0.62
